id,date,text
1,2023-06-10,первый пост будет посвящен работе относительно свежей по меркам deep learning где как известно статьи отличаются небольшим сроком годности в последние несколько лет мы стали свидетелями бешеного прогресса глубокого обучения во всех его ипостасях проявлениях и приложениях и флагманом прогресса выступает область nlp natural language processing разрастающиеся в ширину и глубину модели обученные на колосалльных обьемах данных дополненные современными плюшками и прибамбасами в виде reinforcement learning on human feedback и прочими другими демонстируют способности которые еще не так давно казались бы чемто из разряда научной фантастики однако выдающиеся возможности языковых моделей не даются за бесплатно всему есть цена характерный размер современных языковых моделей используемых в новомодных чатботах по типу и прочих представителей животного мира исчисляется порядка десятков миллиардов параметров что делает традиционный инференс на пользовательских gpu и любимом колабе затруднительным отсюда возникает естественный вопрос на сжатие таких моделей и квантизация представление чисел в более низкой точности на текущий момент по всей видимости является наиболее ходовым решением но если хочется пользоваться не просто готовой моделькой а еще дообучить на какуюто специфичную задачу как бы много данных не видела сеть в процессе своего обучения для достижения хорошего качества в конкретном приложении обыкновенно требуется дообучать модель и существует множество способов и вариантов эффективного по памяти и вычислительным ресурсам техник по дообучению большихх сетей различные адаптеры среди них наиболее популярна заслуживающая отдельного разбора prompt tuning in context learning и иже с ними и в статье которой посвящен сегодняшний выпуск предложили эффективный алгоритм квантования весов и последующую процедуру дообучения модели под чатбота в результате которой получается весьма годный ассистент который как утверждается бьет всех opensource конкурентов если перечислить списком основные результаты статьи выходит чтото такое 1 новый тип для хранения весов 4bit normalfloat nf4 2 двойное квантование double quantization 3 paged отпимизаторы 4 экстенстивная валидация модели на разных бенчмарках и исследование самих бенчмарков
2,2023-06-10,теперь пройдемся по каждому из пунктов подробнее 1 при квантовании весов каждый параметр принимает одно из небольшого количества возможных значений скажем если квантование в 4 бита то у нас 24 16 вариантов но как выбрать эти значения самая очевидная и по существу используемая на практике стратегия задать максимальное и минимальное значение которое может принимать вес и разбить интервал на одинаковые промежутки и если точки распределены равномерно то это и правда оптимальный выбор однако на практике веса скорее распределены в соотвествии с нормальным распределением имеющим колоколообразную форму то есть веса обычно кучкуются ближе к центру интервала и вероятность их встретить убывает к краям интервала отсюда возникает идея выбрать интервалы таким образом чтобы в каждый интервал попадала примерно одна и та же доля весов на языке высокой науки значения которые случайная величина не превышает с заданной вероятностью называется квантилями распределения например 10 квантиль такой значение что слева от него лежит 10 массы распределения для некоторых случайных величин квантили ищутся легко как для равномерного распределения но для нормального распределения это табличные значения которые приходится получать численными методами
3,2023-06-10,авторы наглядно демонстрируют что normalfloat4 дает заметно большее качество по сравнению с обычным float4
4,2023-06-10,2 следующее ноухау данной работы двойное квантование из квантовой механики здесь не причем при квантовании группы значений каждое число представляется в виде целого числа домноженного на некоторое вещественное называемое масштабом scale со сдвигом от некоторого значения zero point в случае ассиметричной квантизации в данной статье рассматривается симметричная квантизация
5,2023-06-10,вот так мы квантуем получаем целые числа
6,2023-06-10,а вот так получаем значения с плавающей точкой из квантованных
7,2023-06-10,группы для квантования могут быть различного размера можно зафиксировать один масштаб на весь тензор но так как разные измерения тензора могут сильно отличаться масштабом то шаг квантования разность между ближайшими возможными значениями может быть слишком велик для точного представления весов посему выгодно брать меньшие группы фиксируя масштаб для одной размености скажем либо даже для меньшей группы соседних весов однако если брать слишком маленькие группы то память выделяемая на хранение scale cтановится довольно существенной скажем если хранить scale в fp32 то для при квантовании в группы из 64 весов скейлы уже будут давать дополнительные 32 64 05 бита в среднем возникает идея а почему бы и не заквантовать сами скейлы и так до бесконечности но авторы решили ограничиться двумя квантованиями в данной работе scale квантуется группами по 256 весов в 8 бит что снижает накладные расходы на их использование до 8 64 32 64 256 0127 бит в среднем на параметр данная процедура не приводит к просадке качества но дает существенную экономию по памяти
8,2023-06-10,3 и еще одно нововведение так называемые paged optimizers у нвидиевских gpu есть опция автоматической перекачки памяти с gpu на cpu ram если память видеокарты забивается причем данная перекачка не приводит к заметному замедлению процесса обучения весьма полезная фича учитывая сколько нейронов в голове программистов и исследователей убивает ежесекудно сообщение низкоранговый адаптер lora заслуживающая отдельного выпуска не квантуется и хранится в bf16 но учитывая его мизерный вес по сравнению со всей моделью это и не требуется итого в конечном виде обученный на целевой задаче имеет следующий вид
9,2023-06-10,где первый член это дважды квантованный вес а второй низкоранговая добавка double dequant расквантование скейлов с последующим расквантованием весов
10,2023-06-10,4 отдельного упоминания и уважения заслуживает валидация их модели и конкуретных на ряде бенчмарков сначала авторы демонстрируют что при finetuning qlora имеет примерно такое же качество как и дообучение всей модели и lora для модели с весами с плавающей точкой без квантования
11,2023-06-10,далее авторы дообучают квантованную сеть на различных датасетах и замеряют качество работы на бенчмарках тестирующих language understanding и качество ответов модели на чатботбенчмарках замеренное с помощью gpt4 и человеками среди датасетов берутся доступные публично данные selfinstruct longform chip2 hhrlhf unnatural instruct oasst1 и конечная модель guanaco обучается именно на нем alpaca flan v2
